,STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY,TOTAL ELECTORS
1304,Bihar,MADHEPURA,Sharad Yadav,0,RJD,Hurricane Lamp,MALE,3,71,GENERAL,Graduate Professional,81533690,0,322410,397,322807,17.12610279,28.12760314,1884883
1305,Bihar,MADHEPURA,Rajesh Ranjan @ Pappu Yadav,0,JAPL,HOCKEY & BALL,MALE,31,51,GENERAL,Graduate,119543561,17695194,97466,165,97631,5.179684893,8.507021292,1884883
1307,Bihar,MADHEPURA,Suman Kumar Jha,0,IND,COCONUT FARM,MALE,0,57,GENERAL,Post Graduate,11276322,0,17573,11,17584,0.9328961,1.532171773,1884883
1308,Bihar,MADHUBANI,ASHOK KUMAR YADAV,1,BJP,Lotus,MALE,1,49,GENERAL,Doctorate,46699125,7892847,594811,1032,595843,33.23536729,61.76420588,1792798
1309,Bihar,MADHUBANI,BADRI KUMAR PURBEY,0,VSIP,Boat with Man and Sail,MALE,,46,GENERAL,Not Available,,,140705,198,140903,7.85939074,14.605797,1792798
1310,Bihar,MADHUBANI,DR. SHAKEEL AHMAD,0,IND,Helicopter,MALE,1,63,GENERAL,Graduate Professional,26802196,0,131416,114,131530,7.336576681,13.63420565,1792798
1311,Bihar,MADHUBANI,HEMA JHA,0,IND,Bat,FEMALE,0,57,GENERAL,10th Pass,10874083,0,14254,0,14254,0.795070053,1.4775486,1792798
1312,Bihar,MADHUBANI,ABUBAKAR RAHMANI,0,IND,Almirah,MALE,0,30,GENERAL,Post Graduate,757606,0,12491,1,12492,0.696787926,1.294902281,1792798
1313,Bihar,MADHUBANI,ANAND KUMAR JHA,0,AKBMP,DIAMOND,MALE,0,39,GENERAL,Post Graduate,189200,0,10109,18,10127,0.564871224,1.049749872,1792798
1314,Tamil Nadu,MADURAI,VENKATESAN S,1,CPI(M),"Hammer, Sickle and Star",MALE,0,49,GENERAL,12th Pass,1811456,0,444152,2923,447075,29.04921684,43.95490413,1539026
1315,Tamil Nadu,MADURAI,RAJ SATYEN V.V.R,0,AIADMK,Two Leaves,MALE,0,36,GENERAL,Post Graduate,32239213,8700000,307033,647,307680,19.99186498,30.2500585,1539026
1316,Tamil Nadu,MADURAI,DAVID ANNADURAI K,0,IND,Gift Pack,MALE,3,42,GENERAL,Graduate Professional,28787054,330000,85318,429,85747,5.571510813,8.430355454,1539026
1317,Tamil Nadu,MADURAI,ALAGAR M,0,MNM,Battery Torch,MALE,0,52,GENERAL,Graduate Professional,6297227,4676374,84842,206,85048,5.526092477,8.361632135,1539026
1318,Tamil Nadu,MADURAI,PANDIAMMAL J,0,NTK,Ganna Kisan,FEMALE,0,38,GENERAL,Post Graduate,175000,0,42721,180,42901,2.787542251,4.217881434,1539026
1320,Telangana,MAHABUBABAD,Kavitha Malothu,1,TRS,Car,FEMALE,1,39,ST,Graduate,19731269,1252068,461824,285,462109,32.44270334,46.97628461,1424385
1321,Telangana,MAHABUBABAD,Balaram Naik Porika,0,INC,Hand,MALE,1,55,ST,10th Pass,43570110,33600000,315262,184,315446,22.1461192,32.06706875,1424385
